,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0,1695809609010,-0.7080078,0.34570312,-0.6484375,-0.3125,-0.9375,-0.25,0.0,0.0,0.0
1,1695809609069,-0.7236328,0.34375,-0.6484375,-0.53125,-0.8125,-0.1875,0.0,0.0,0.0
2,1695809609098,-0.71875,0.34960938,-0.640625,-0.3125,-0.75,-0.1875,0.0,0.0,0.0
3,1695809609128,-0.7216797,0.3515625,-0.6484375,-0.0625,-0.5,-0.0625,0.0,0.0,0.0
4,1695809609189,-0.7089844,0.3564453,-0.6347656,-0.0625,-0.5625,-0.25,0.0,0.0,0.0
5,1695809609218,-0.7207031,0.34960938,-0.6513672,0.0,0.0,-0.25,-47.6875,6.625,-176.75
6,1695809609248,-0.71484375,0.34472656,-0.6503906,0.1875,-0.25,-0.4375,0.0,0.0,0.0
7,1695809609308,-0.7158203,0.35351562,-0.6503906,0.0,0.0625,-0.1875,0.0,0.0,0.0
8,1695809609339,-0.71972656,0.35058594,-0.6455078,-0.125,-0.5,-0.25,0.0,0.0,0.0
9,1695809609369,-0.71875,0.3486328,-0.640625,-0.125,-0.375,-0.1875,0.0,0.0,0.0
10,1695809609458,-0.71777344,0.3408203,-0.6484375,0.0625,-0.3125,-0.0625,0.0,0.0,0.0
11,1695809609460,-0.7138672,0.35546875,-0.64746094,0.4375,0.0625,0.125,0.0,0.0,0.0
12,1695809609488,-0.7158203,0.35058594,-0.64941406,0.3125,0.21875,0.0625,0.0,0.0,0.0
13,1695809609548,-0.71484375,0.34765625,-0.6298828,0.3125,0.0,0.0,0.0,0.0,0.0
14,1695809609578,-0.7285156,0.34472656,-0.6425781,0.125,0.1875,0.0,0.0,0.0,0.0
15,1695809609608,-0.7158203,0.34765625,-0.6484375,0.375,0.65625,-0.1875,0.0,0.0,0.0
16,1695809609672,-0.7158203,0.34960938,-0.65527344,-0.1875,-0.1875,-0.25,0.0,0.0,0.0
17,1695809609702,-0.7158203,0.34570312,-0.6435547,-0.34375,0.0,0.125,-47.6875,5.4375,-177.625
18,1695809609730,-0.71875,0.3515625,-0.64941406,0.5625,-0.125,0.0625,0.0,0.0,0.0
19,1695809609791,-0.7109375,0.3564453,-0.6425781,0.625,-0.3125,-0.0625,0.0,0.0,0.0
20,1695809609821,-0.71484375,0.34375,-0.6308594,0.125,0.1875,0.3125,0.0,0.0,0.0
21,1695809609850,-0.71777344,0.35546875,-0.6425781,0.0,0.0625,0.125,0.0,0.0,0.0
22,1695809609914,-0.71777344,0.3544922,-0.6503906,0.375,0.34375,-0.0625,0.0,0.0,0.0
23,1695809609941,-0.71875,0.3515625,-0.6425781,0.875,0.65625,-0.25,0.0,0.0,0.0
24,1695809609970,-0.7080078,0.34179688,-0.6533203,0.3125,0.1875,-0.125,0.0,0.0,0.0
25,1695809610032,-0.7207031,0.35351562,-0.66015625,0.6875,0.59375,0.0,0.0,0.0,0.0
26,1695809610061,-0.7167969,0.34765625,-0.64941406,0.5625,0.125,-0.0625,0.0,0.0,0.0
27,1695809610089,-0.7080078,0.35546875,-0.6357422,0.25,0.34375,0.0625,0.0,0.0,0.0
28,1695809610149,-0.72265625,0.3564453,-0.6425781,0.75,0.21875,0.0,0.0,0.0,0.0
29,1695809610180,-0.7080078,0.3408203,-0.6435547,0.5625,0.28125,-0.0625,0.0,0.0,0.0
30,1695809610210,-0.7080078,0.34277344,-0.6455078,-0.1875,0.34375,0.1875,-48.75,5.875,-177.0625
31,1695809610273,-0.71777344,0.3515625,-0.64746094,0.25,-0.125,-0.1875,0.0,0.0,0.0
32,1695809610301,-0.71777344,0.3515625,-0.65234375,0.1875,0.28125,-0.0625,0.0,0.0,0.0
33,1695809610331,-0.7138672,0.34765625,-0.6513672,0.0625,0.0,-0.0625,0.0,0.0,0.0
34,1695809610390,-0.7109375,0.34570312,-0.65527344,0.25,0.0,0.0,0.0,0.0,0.0
35,1695809610425,-0.71777344,0.35351562,-0.6435547,0.125,0.0,-0.1875,0.0,0.0,0.0
36,1695809610450,-0.7158203,0.3486328,-0.6533203,-0.1875,-0.3125,0.0,0.0,0.0,0.0
37,1695809610540,-0.7128906,0.35351562,-0.6582031,0.4375,-0.0625,-0.125,0.0,0.0,0.0
38,1695809610570,-0.70703125,0.3486328,-0.6503906,0.1875,0.125,-0.3125,0.0,0.0,0.0
39,1695809610572,-0.7158203,0.34960938,-0.6542969,-0.125,-0.375,-0.25,0.0,0.0,0.0
40,1695809610630,-0.71484375,0.3466797,-0.64941406,-0.0625,-0.3125,-0.0625,0.0,0.0,0.0
41,1695809610667,-0.71191406,0.34570312,-0.63671875,0.125,-0.125,-0.1875,0.0,0.0,0.0
42,1695809610696,-0.7128906,0.35351562,-0.64746094,0.25,-0.0625,0.0,-49.375,7.25,-177.375
43,1695809610749,-0.70410156,0.3466797,-0.64453125,0.125,-0.125,-0.0625,0.0,0.0,0.0
44,1695809610777,-0.7158203,0.35546875,-0.64453125,0.0625,0.0625,-0.25,0.0,0.0,0.0
45,1695809610808,-0.703125,0.34960938,-0.64746094,-0.0625,-0.125,-0.125,0.0,0.0,0.0
46,1695809610868,-0.7138672,0.34570312,-0.66015625,0.5,0.28125,-0.25,0.0,0.0,0.0
