,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
0,1695773868665,-0.09423828,-0.819397,-0.010314941,12.390625,4.09375,-58.125,0
1,1695773868705,0.27563477,-1.0794067,0.03289795,26.875,7.84375,-45.890625,1
2,1695773868745,0.46411133,-0.96173096,0.17132568,42.078125,7.015625,-4.546875,2
3,1695773868785,0.15795898,-0.57281494,-0.054260254,15.921875,10.78125,15.078125,3
4,1695773868825,-0.19506836,-0.597229,-0.4373169,-34.125,-26.890625,-16.109375,4
5,1695773868865,-0.93408203,-1.5176392,-0.37042236,-31.703125,-60.546875,-20.28125,5
6,1695773868905,-0.7416992,-1.1921997,0.14715576,31.015625,9.28125,-85.640625,6
7,1695773868945,-0.27294922,-1.3276978,-0.16339111,55.5625,47.6875,-51.234375,7
8,1695773868985,0.4013672,-0.94415283,0.010925293,53.328125,61.9375,9.140625,8
9,1695773869025,0.3190918,-0.55792236,-0.3826294,-23.640625,-37.140625,12.875,9
10,1695773869065,0.013916016,-0.7263794,-0.4282837,-64.328125,-75.21875,-18.21875,10
11,1695773869105,-0.47436523,-1.5664673,-0.117248535,-49.1875,-34.40625,-6.390625,11
12,1695773869145,-0.55859375,-1.2788696,-0.07208252,21.625,-11.40625,8.0,12
13,1695773869185,-0.41333008,-0.9470825,-0.043029785,21.234375,-6.359375,34.8125,13
14,1695773869225,-0.06982422,-0.8233032,-0.4734497,-1.65625,-7.71875,43.59375,14
15,1695773869265,-0.11767578,-0.86260986,-0.3538208,-2.109375,-25.75,75.515625,15
16,1695773869305,-0.43115234,-0.65216064,-0.0044555664,-5.328125,-26.71875,67.390625,16
17,1695773869345,-0.35766602,-0.82232666,-0.12359619,-4.015625,-0.296875,14.421875,17
18,1695773869385,-0.4597168,-0.95562744,-0.12579346,-11.65625,11.21875,-28.34375,18
19,1695773869425,-0.18774414,-0.92803955,-0.12628174,-30.765625,8.75,-34.359375,19
20,1695773869465,0.019042969,-0.94854736,-0.061584473,-19.828125,23.796875,-1.59375,20
21,1695773869505,0.40625,-0.9800415,-0.19732666,5.6875,6.671875,44.671875,21
22,1695773869545,0.36035156,-0.9663696,-0.09552002,25.453125,11.5,69.953125,22
23,1695773869585,0.33618164,-1.2839966,-0.15704346,-23.703125,-2.515625,39.75,23
24,1695773869625,-0.40014648,-1.3521118,0.26507568,-28.140625,-24.75,4.640625,24
25,1695773869665,-0.110839844,-0.82110596,-0.08111572,17.75,95.53125,-45.53125,25
26,1695773869705,0.56689453,-0.8032837,-0.70562744,9.625,63.078125,-21.625,26
27,1695773869745,0.8515625,-0.8491821,-0.25250244,8.171875,-19.34375,11.5,27
28,1695773869785,0.74975586,-0.97906494,0.0028686523,6.3125,-35.875,36.515625,28
29,1695773869825,0.15551758,-0.8904419,-0.015197754,-8.640625,-36.703125,-4.9375,29
30,1695773869865,-0.14794922,-0.75909424,-0.08111572,2.96875,-20.296875,-29.203125,30
31,1695773869905,-0.12231445,-0.6223755,0.016052246,15.078125,-9.640625,-48.484375,31
32,1695773869945,0.030029297,-0.87823486,-0.10723877,38.296875,19.765625,-44.015625,32
33,1695773869985,-0.20581055,-1.0359497,0.20135498,13.390625,29.1875,-38.515625,33
34,1695773870025,-0.37353516,-1.133606,-0.40509033,-46.34375,48.84375,-20.59375,34
35,1695773870065,-0.38085938,-0.6790161,-0.6397095,-0.03125,-1.3125,-3.234375,35
36,1695773870105,0.38012695,-2.0,-0.25445557,81.671875,3.140625,-53.28125,36
37,1695773870145,-0.060058594,-1.0747681,0.36712646,64.890625,52.515625,-32.984375,37
38,1695773870185,0.13891602,-0.5371704,-0.4072876,-34.84375,2.953125,-36.53125,38
39,1695773870225,-0.13696289,-0.4866333,-0.65338135,-55.53125,-30.609375,-8.921875,39
40,1695773870265,-0.4645996,-0.7007446,-0.35968018,-10.359375,-43.453125,-5.25,40
41,1695773870305,-0.421875,-1.375061,-0.047668457,6.421875,-10.65625,-1.515625,41
42,1695773870345,-0.20385742,-1.28302,-0.17828369,7.453125,7.40625,16.109375,42
43,1695773870385,-0.1484375,-1.0339966,-0.32037354,2.515625,-10.859375,10.71875,43
44,1695773870425,-0.43652344,-1.1506958,-0.004211426,-11.96875,3.125,54.609375,44
45,1695773870465,-0.5698242,-0.4553833,-0.6272583,0.28125,30.96875,85.359375,45
46,1695773870505,-0.36621094,-0.51153564,-0.18756104,12.296875,15.34375,47.65625,46
47,1695773870545,-0.17260742,-1.1860962,-0.08013916,-13.53125,16.640625,2.65625,47
48,1695773870585,-0.0048828125,-1.0708618,-0.0134887695,-29.53125,11.671875,-8.125,48
49,1695773870625,0.35473633,-1.1062622,-0.06036377,-20.71875,-14.0625,20.96875,49
50,1695773870665,0.035888672,-0.7085571,-0.38555908,-2.8125,-16.46875,79.984375,50
51,1695773870705,-0.09667969,-0.91290283,-0.04473877,-39.109375,-11.421875,29.5625,51
52,1695773870745,-0.1315918,-1.4299927,0.20111084,-2.265625,1.734375,-0.6875,52
53,1695773870785,0.16918945,-1.0891724,-0.09625244,9.890625,55.0,-12.703125,53
54,1695773870825,0.4194336,-0.5623169,-0.50567627,21.875,47.296875,16.03125,54
55,1695773870865,0.60375977,-0.55841064,-0.35308838,13.578125,-28.5625,1.375,55
56,1695773870905,0.64990234,-0.8855591,0.08831787,-11.46875,-25.109375,-7.59375,56
57,1695773870945,0.28881836,-1.1721802,-0.08380127,-50.765625,-25.078125,-29.90625,57
58,1695773870985,-0.29345703,-1.2178345,0.06488037,21.765625,-31.734375,-18.453125,58
59,1695773871025,0.3720703,-0.69122314,0.042663574,69.84375,-19.4375,-31.46875,59
60,1695773871065,0.56591797,-0.8870239,0.02166748,24.4375,-54.703125,-15.15625,60
61,1695773871105,0.27270508,-0.82891846,-0.14141846,-12.6875,-11.921875,29.234375,61
62,1695773871145,-0.17675781,-0.8255005,0.086120605,-35.796875,0.203125,23.296875,62
63,1695773871185,-0.65405273,-1.2815552,-0.4902954,-8.5625,-6.703125,2.40625,63
64,1695773871225,-0.9272461,-0.3652954,-0.08306885,-8.75,8.5,-93.4375,64
65,1695773871265,0.14379883,-1.2666626,-0.7979126,47.765625,43.078125,-114.265625,65
