,importance
weight_kg,0.9913
temp_c,0.0055
co2_ppm,0.0004
head_temp,0.0003
humidity_pct,0.0003
manure_heat,0.0003
nh3_ppm,0.0003
ventilation,0.0003
back_temp,0.0002
rectal_temp,0.0002
neck_temp,0.0002
keypoint_distance,0.0002
feed_volume,0.0002
water_supply,0.0002
pig_class_porker,0.0001
pig_class_weaningpig,0.0
pig_class_piglet,0.0
pig_class_growing-pig,0.0
