,importance
activity_max,0.233
activity_mean,0.082
age_over_target,0.0743
humidity_pct,0.0558
water_adequacy,0.054
nh3_ppm,0.0506
temp_c,0.0464
feed_adequacy,0.0453
facility_score,0.0445
aspect_mean,0.0445
bbox_area_mean,0.0398
backfat_mm,0.0379
growth_disease_cnt,0.0327
boar_exposure_min,0.0266
activity_std,0.0258
weight_kg,0.023
frac_head_shaking,0.0228
kp_spread_mean,0.0214
frac_lying,0.0127
frac_eating,0.0093
frac_sitting,0.0091
frac_tailing,0.0047
frac_standing,0.0038
n_frames,0.0
