,importance
nh3_ppm,0.2435
stocking_density,0.1329
avg_temp_c,0.1328
init_age_days,0.079
feed_intake_kg,0.0648
humidity_pct,0.0631
vaccinated,0.063
init_weight_kg,0.0554
farm_id,0.0496
co2_ppm,0.0468
antibiotic_days,0.0364
house_id,0.0171
feed_grade_표준,0.0072
feed_grade_고급,0.0041
sex_암,0.0023
breed_이원교잡(LY),0.0017
feed_grade_저가,0.0003
breed_삼원교잡(LYD),0.0
sex_거세,0.0
