,importance
temp_c,0.967
humidity_pct,0.0195
manure_heat,0.0015
co2_ppm,0.0014
weight_kg,0.0014
ventilation,0.0014
nh3_ppm,0.0013
head_temp,0.0012
back_temp,0.0011
keypoint_distance,0.001
neck_temp,0.0009
feed_volume,0.0009
water_supply,0.0007
rectal_temp,0.0006
pig_class_growing-pig,0.0001
pig_class_weaningpig,0.0
pig_class_piglet,0.0
pig_class_porker,0.0
