,importance
weight_kg,0.963
humidity_pct,0.0311
feed_volume,0.0009
co2_ppm,0.0007
manure_heat,0.0006
ventilation,0.0006
neck_temp,0.0005
temp_c,0.0005
nh3_ppm,0.0004
back_temp,0.0004
rectal_temp,0.0003
head_temp,0.0003
keypoint_distance,0.0003
water_supply,0.0003
pig_class_growing-pig,0.0001
pig_class_weaningpig,0.0
pig_class_piglet,0.0
pig_class_porker,0.0
