,importance
feed_intake_kg,0.4892
avg_temp_c,0.1637
feed_grade_고급,0.1015
nh3_ppm,0.0634
feed_grade_저가,0.0522
sex_거세,0.0512
sex_암,0.0483
stocking_density,0.0209
vaccinated,0.0039
humidity_pct,0.0012
init_age_days,0.0011
farm_id,0.001
co2_ppm,0.0008
init_weight_kg,0.0005
antibiotic_days,0.0005
feed_grade_표준,0.0002
house_id,0.0001
breed_삼원교잡(LYD),0.0
breed_이원교잡(LY),0.0
