timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1632924218312,0.010253906,-0.7190552,-0.043273926,33.890625,15.953125,-5.90625,Respeck,Descending stairs,13,s1817455,,Respeck_s1817455_Descending stairs_29-09-2021_15-03-45
1632924218355,-0.08886719,-0.4121704,-0.03692627,27.125,27.96875,-10.859375,Respeck,Descending stairs,13,s1817455,,Respeck_s1817455_Descending stairs_29-09-2021_15-03-45
1632924218406,-0.19921875,-0.42803955,0.032165527,18.703125,20.171875,-7.125,Respeck,Descending stairs,13,s1817455,,Respeck_s1817455_Descending stairs_29-09-2021_15-03-45
1632924218429,-0.29663086,-0.53619385,-0.016418457,12.875,11.890625,10.640625,Respeck,Descending stairs,13,s1817455,,Respeck_s1817455_Descending stairs_29-09-2021_15-03-45
1632924218489,-0.13769531,-0.5022583,-0.12237549,-0.1875,4.21875,7.828125,Respeck,Descending stairs,13,s1817455,,Respeck_s1817455_Descending stairs_29-09-2021_15-03-45
1632924218519,0.0056152344,-0.39898682,0.0446167,-3.40625,6.875,2.265625,Respeck,Descending stairs,13,s1817455,,Respeck_s1817455_Descending stairs_29-09-2021_15-03-45
1632924218550,-0.079833984,-0.5405884,0.051452637,-0.015625,-5.3125,-8.46875,Respeck,Descending stairs,13,s1817455,,Respeck_s1817455_Descending stairs_29-09-2021_15-03-45
1632924218625,-0.3449707,-0.9475708,-0.065979004,-13.328125,-28.21875,-19.90625,Respeck,Descending stairs,13,s1817455,,Respeck_s1817455_Descending stairs_29-09-2021_15-03-45
1632924218640,0.012207031,-1.0122681,-0.021057129,-18.109375,-13.671875,-4.328125,Respeck,Descending stairs,13,s1817455,,Respeck_s1817455_Descending stairs_29-09-2021_15-03-45
1632924218671,-0.27246094,-1.3223267,0.15570068,14.859375,-28.125,-11.65625,Respeck,Descending stairs,13,s1817455,,Respeck_s1817455_Descending stairs_29-09-2021_15-03-45
1632924218744,-0.6789551,-2,0.018981934,-77.140625,-30.46875,-7.015625,Respeck,Descending stairs,13,s1817455,,Respeck_s1817455_Descending stairs_29-09-2021_15-03-45
1632924218763,-0.08300781,-1.6050415,0.50701904,-71.046875,-14.546875,23.078125,Respeck,Descending stairs,13,s1817455,,Respeck_s1817455_Descending stairs_29-09-2021_15-03-45
1632924218804,0.49438477,-1.4412231,-0.18634033,89.125,35.34375,36.90625,Respeck,Descending stairs,13,s1817455,,Respeck_s1817455_Descending stairs_29-09-2021_15-03-45
1632924218864,-0.1706543,-1.2771606,0.04901123,33.921875,4.390625,-27.46875,Respeck,Descending stairs,13,s1817455,,Respeck_s1817455_Descending stairs_29-09-2021_15-03-45
1632924218879,-0.4128418,-0.82525635,-0.018859863,10.703125,-6.421875,-20.5,Respeck,Descending stairs,13,s1817455,,Respeck_s1817455_Descending stairs_29-09-2021_15-03-45
1632924218913,0.25097656,-0.7127075,0.18865967,-10.28125,30.15625,-8.53125,Respeck,Descending stairs,13,s1817455,,Respeck_s1817455_Descending stairs_29-09-2021_15-03-45
1632924218985,-0.05834961,-0.6370239,0.22650146,-15.71875,19.125,-13.328125,Respeck,Descending stairs,13,s1817455,,Respeck_s1817455_Descending stairs_29-09-2021_15-03-45
1632924219003,-0.13842773,-0.55426025,0.13763428,-9.875,8.375,-10.6875,Respeck,Descending stairs,13,s1817455,,Respeck_s1817455_Descending stairs_29-09-2021_15-03-45
1632924219035,-0.071777344,-0.8064575,0.14788818,1.75,-4.546875,-5.203125,Respeck,Descending stairs,13,s1817455,,Respeck_s1817455_Descending stairs_29-09-2021_15-03-45
1632924219104,-0.13012695,-1.019104,0.11273193,-1.015625,-4.3125,7.984375,Respeck,Descending stairs,13,s1817455,,Respeck_s1817455_Descending stairs_29-09-2021_15-03-45
